"Date","Primary_Bird","Video_Num","Subject","Behavior","Modifiers","Vid_occurrences","Vid_duration","Vid_visible","Day_visible","Day_occurrences","Day_duration","Rate_per_min_vid","Rate_per_min_day","Percent_time_visible_vid","Percent_time_visible_day"
2025-07-01,"C","3","Broken beak","Feed","Auto-|Unknown|None",2,NA,28.8,957.957,55,NA,4.16666666666667,3.44483103103793,NA,NA
2025-07-01,"C","3","Broken beak","Foraging","",1,28.8,28.8,957.957,48,935.437,NA,NA,100,97.6491637933644
2025-07-01,"C","3","Other crow #1","Feed","Auto-|Unknown|None",5,NA,25.84,861.319,42,NA,11.609907120743,2.92574528136498,NA,NA
2025-07-01,"C","3","Other crow #1","Foraging","",1,25.84,25.84,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"C","4","No focal subject","Unclear video","",2,0.24,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"C","4","Other crow #2","Feed","Auto-|Unknown|None",2,NA,69.76,249.56,13,NA,1.72018348623853,3.12550088155153,NA,NA
2025-07-01,"C","4","Other crow #2","Foraging","",2,69.76,69.76,249.56,5,237.96,NA,NA,100,95.3518192017952
2025-07-01,"C","5","No focal subject","Close proximity","Mutual|Mutual",5,85,NA,NA,12,246.439,NA,NA,NA,NA
2025-07-01,"C","5","No focal subject","Unclear video","",6,50.109,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"C","5","Broken beak","Feed","Auto-|Unknown|None",1,NA,84.32,957.957,55,NA,0.71157495256167,3.44483103103793,NA,NA
2025-07-01,"C","5","Broken beak","Foraging","",5,84.32,84.32,957.957,48,935.437,NA,NA,100,97.6491637933644
2025-07-01,"C","5","Other crow #1","Feed","Auto-|Unknown|None",8,NA,85,861.319,42,NA,5.64705882352941,2.92574528136498,NA,NA
2025-07-01,"C","5","Other crow #1","Foraging","",5,85,85,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"C","6","No focal subject","Unclear video","",2,15.959,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"C","6","Other crow #1","Foraging","",2,39.04,39.04,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"C","7","No focal subject","Close proximity","Other crow #2|Other crow #1",1,30.96,NA,NA,1,30.96,NA,NA,NA,NA
2025-07-01,"C","7","No focal subject","Close proximity","Mutual|Mutual",1,79.72,NA,NA,12,246.439,NA,NA,NA,NA
2025-07-01,"C","7","Broken beak","Feed","Auto-|Unknown|None",2,NA,68.799,957.957,55,NA,1.74421139842149,3.44483103103793,NA,NA
2025-07-01,"C","7","Broken beak","Foraging","",3,68.799,68.799,957.957,48,935.437,NA,NA,100,97.6491637933644
2025-07-01,"C","7","Other crow #1","Feed","Auto-|Unknown|None",3,NA,127.319,861.319,42,NA,1.41377170728642,2.92574528136498,NA,NA
2025-07-01,"C","7","Other crow #1","Feed","Auto-|Successful|None",1,NA,127.319,861.319,20,NA,0.471257235762141,1.39321203874523,NA,NA
2025-07-01,"C","7","Other crow #1","Foraging","",3,127.319,127.319,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"C","7","Other crow #2","Feed","Auto-|Successful|None",2,NA,104.8,249.56,2,NA,1.14503816793893,0.480846289469466,NA,NA
2025-07-01,"C","7","Other crow #2","Feed","Auto-|Unknown|None",7,NA,104.8,249.56,13,NA,4.00763358778626,3.12550088155153,NA,NA
2025-07-01,"C","7","Other crow #2","Foraging","",1,104.8,104.8,249.56,5,237.96,NA,NA,100,95.3518192017952
2025-07-01,"C","8","No focal subject","Unclear video","",4,2.159,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"C","8","Other crow #1","Feed","Auto-|Unknown|None",5,NA,237.84,861.319,42,NA,1.26135216952573,2.92574528136498,NA,NA
2025-07-01,"C","8","Other crow #1","Feed","Auto-|Successful|None",7,NA,237.84,861.319,20,NA,1.76589303733602,1.39321203874523,NA,NA
2025-07-01,"C","8","Other crow #1","Foraging","",4,237.84,237.84,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"C","9","No focal subject","Close proximity","Mutual|Mutual",1,0.76,NA,NA,12,246.439,NA,NA,NA,NA
2025-07-01,"C","9","No focal subject","Unclear video","",6,23.519,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"C","9","Broken beak","Feed","Auto-|Successful|None",1,NA,3.68,957.957,4,NA,16.304347826087,0.250533165893667,NA,NA
2025-07-01,"C","9","Broken beak","Foraging","",3,3.68,3.68,957.957,48,935.437,NA,NA,100,97.6491637933644
2025-07-01,"C","9","Other crow #1","Alert","",1,5.16,109.28,861.319,2,5.4,NA,NA,4.72181551976574,0.626945417435352
2025-07-01,"C","9","Other crow #1","Vocal","",1,NA,109.28,861.319,1,NA,0.54904831625183,0.0696606019372613,NA,NA
2025-07-01,"C","9","Other crow #1","Feed","Auto-|Successful|None",2,NA,109.28,861.319,20,NA,1.09809663250366,1.39321203874523,NA,NA
2025-07-01,"C","9","Other crow #1","Foraging","",6,61.68,109.28,861.319,35,813.479,NA,NA,56.4421669106881,94.4457280055357
2025-07-01,"C","9","Other crow #1","Resting","",1,42.44,109.28,861.319,1,42.44,NA,NA,38.8360175695461,4.92732657702895
2025-10-10,"C","1","No focal subject","Unclear video","",5,10.784,NA,NA,5,10.784,NA,NA,NA,NA
2025-10-10,"C","1","Other crow #1","Preen","Auto-|None",3,10.64,57.239,57.239,3,10.64,NA,NA,18.5887244710774,18.5887244710774
2025-10-10,"C","1","Other crow #1","Alert","",1,1.679,57.239,57.239,1,1.679,NA,NA,2.93331469802058,2.93331469802058
2025-10-10,"C","1","Other crow #1","Resting","",3,44.92,57.239,57.239,3,44.92,NA,NA,78.477960830902,78.477960830902
2025-06-10,"BB","1","No focal subject","Close proximity","Mutual|Mutual",2,15.04,NA,NA,17,294.558,NA,NA,NA,NA
2025-06-10,"BB","1","No focal subject","Unclear video","",4,137.235,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"BB","1","Broken beak","Brief flight","",1,1.04,16.438,1741.873,2,5.68,NA,NA,6.32680374741453,0.326085770891448
2025-06-10,"BB","1","Broken beak","Foraging","",3,15.398,16.438,1741.873,63,1597.954,NA,NA,93.6731962525855,91.7376869611045
2025-06-10,"BB","1","Other crow #1","Brief flight","",1,1.12,28.84,2006.035,3,6.16,NA,NA,3.88349514563107,0.307073405997403
2025-06-10,"BB","1","Other crow #1","Feed","Auto-|Successful|None",1,NA,28.84,2006.035,31,NA,2.08044382801664,0.92720216745969,NA,NA
2025-06-10,"BB","1","Other crow #1","Foraging","",4,27.72,28.84,2006.035,78,1611.199,NA,NA,96.1165048543689,80.3175916671444
2025-06-10,"BB","2","No focal subject","Close proximity","Broken beak|Other crow #1",1,6.84,NA,NA,5,72.04,NA,NA,NA,NA
2025-06-10,"BB","2","No focal subject","Close proximity","Mutual|Mutual",2,26.52,NA,NA,17,294.558,NA,NA,NA,NA
2025-06-10,"BB","2","No focal subject","Close proximity","Other crow #1|Broken beak",1,27.8,NA,NA,8,209.84,NA,NA,NA,NA
