Observation id,Observation date,Description,Temperature,Humidity,Wind,Weather,Ground softness,Ladder trap,Primary location,Time budget start,Time budget stop,Time budget duration,Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,No focal subject,Unclear video,,1,1.66,1.66,NA,NA,NA,2.1
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Alert,Other crow #1,1,9.72,9.72,NA,NA,NA,12.3
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Alert,Other crow #1,1,9.72,9.72,NA,NA,NA,12.3
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Vocal,Other crow #1,3,NA,NA,NA,0.86,0.368,NA
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Vocal,Other crow #1,3,NA,NA,NA,0.86,0.368,NA
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Foraging,Other crow #1,3,15.88,5.293,4.211,18.64,12.615,20.2
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Resting,Other crow #1,2,51.44,25.72,2.602,6.4,NA,65.3
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Alert,Other crow #1,1,9.72,9.72,NA,NA,NA,12.3
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Alert,Other crow #1,1,9.72,9.72,NA,NA,NA,12.3
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Vocal,Other crow #1,3,NA,NA,NA,0.86,0.368,NA
27-6-25 C #2,2026-01-0708:13:47.594,,60,90,11,cloudy,(no record),no,ground,0.000,78.720,78.720,Other crow #1,Vocal,Other crow #1,3,NA,NA,NA,0.86,0.368,NA
