Observation id,Observation date,Description,Temperature,Humidity,Wind,Weather,Ground softness,Ladder trap,Primary location,Time budget start,Time budget stop,Time budget duration,Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,No focal subject,Unclear video,,2,4.144,2.072,0.351,37.48,NA,3.1
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,Other crow #1,Preen,Auto-|None,2,13.36,6.68,2.659,51.0,NA,10.1
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,Other crow #1,Preen,Auto-|None,2,13.36,6.68,2.659,51.0,NA,10.1
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,Other crow #1,Alert,Other crow #1,1,4.0,4.0,NA,NA,NA,3.0
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,Other crow #1,Alert,Other crow #1,1,4.0,4.0,NA,NA,NA,3.0
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,Other crow #1,Resting,Other crow #1,3,111.04,37.013,12.597,9.84,7.128,83.8
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,Other crow #1,Preen,Auto-|None,2,13.36,6.68,2.659,51.0,NA,10.1
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,Other crow #1,Preen,Auto-|None,2,13.36,6.68,2.659,51.0,NA,10.1
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,Other crow #1,Alert,Other crow #1,1,4.0,4.0,NA,NA,NA,3.0
20-11-25 C #1,2026-01-1006:49:19.399,,32,69,6,sunny,hard,no,tree,0.000,132.544,132.544,Other crow #1,Alert,Other crow #1,1,4.0,4.0,NA,NA,NA,3.0
