Observation id,Observation date,Description,Temperature,Humidity,Wind,Weather,Ground softness,Ladder trap,Primary location,Time budget start,Time budget stop,Time budget duration,Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
23-5-25 BB #1,2026-01-0518:19:11.308,,64,36,10,(no record),(no record),no,ground,0.000,156.060,156.060,No focal subject,Unclear video,,3,25.1,8.367,9.436,63.88,61.151,16.1
23-5-25 BB #1,2026-01-0518:19:11.308,,64,36,10,(no record),(no record),no,ground,0.000,156.060,156.060,Broken beak,Vocal,Broken beak,7,NA,NA,NA,6.2,8.868,NA
23-5-25 BB #1,2026-01-0518:19:11.308,,64,36,10,(no record),(no record),no,ground,0.000,156.060,156.060,Broken beak,Vocal,Broken beak,7,NA,NA,NA,6.2,8.868,NA
23-5-25 BB #1,2026-01-0518:19:11.308,,64,36,10,(no record),(no record),no,ground,0.000,156.060,156.060,Broken beak,Feed,Auto-|Unsuccessful|None,10,NA,NA,NA,8.693,8.893,NA
23-5-25 BB #1,2026-01-0518:19:11.308,,64,36,10,(no record),(no record),no,ground,0.000,156.060,156.060,Broken beak,Feed,Auto-|Unknown|None,5,NA,NA,NA,16.09,14.394,NA
23-5-25 BB #1,2026-01-0518:19:11.308,,64,36,10,(no record),(no record),no,ground,0.000,156.060,156.060,Broken beak,Feed,Auto-|Successful|None,1,NA,NA,NA,NA,NA,NA
23-5-25 BB #1,2026-01-0518:19:11.308,,64,36,10,(no record),(no record),no,ground,0.000,156.060,156.060,Broken beak,Foraging,Broken beak,3,130.96,43.653,55.651,10.42,12.36,83.9
23-5-25 BB #1,2026-01-0518:19:11.308,,64,36,10,(no record),(no record),no,ground,0.000,156.060,156.060,Broken beak,Vocal,Broken beak,7,NA,NA,NA,6.2,8.868,NA
23-5-25 BB #1,2026-01-0518:19:11.308,,64,36,10,(no record),(no record),no,ground,0.000,156.060,156.060,Broken beak,Vocal,Broken beak,7,NA,NA,NA,6.2,8.868,NA
