Observation id,Observation date,Description,Temperature,Humidity,Wind,Weather,Ground softness,Ladder trap,Primary location,Time budget start,Time budget stop,Time budget duration,Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,No focal subject,Close proximity,Mutual|Mutual,4,25.24,6.31,4.653,439.667,522.883,1.3
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,No focal subject,Close proximity,Other crow #1|Broken beak,5,74.678,14.936,10.905,334.921,435.609,3.9
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,No focal subject,Close proximity,Broken beak|Other crow #1,2,39.52,19.76,12.162,106.52,NA,2.1
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,No focal subject,Within 5m,Other crow #1|Broken beak,2,10.8,5.4,0.792,988.0,NA,0.6
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,No focal subject,Within 5m,Mutual|Mutual,5,263.76,52.752,80.424,299.07,459.627,13.9
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,No focal subject,Within 5m,Broken beak|Other crow #1,1,23.32,23.32,NA,NA,NA,1.2
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,No focal subject,Unclear video,,44,241.597,5.491,5.709,38.124,43.582,12.7
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Preen,Auto-,1,3.92,3.92,NA,NA,NA,0.2
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Preen,Auto-,1,3.92,3.92,NA,NA,NA,0.2
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Alert,Broken beak,3,9.08,3.027,1.541,60.36,46.16,0.5
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Alert,Broken beak,3,9.08,3.027,1.541,60.36,46.16,0.5
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Feed,Auto-|Successful,90,NA,NA,NA,20.609,27.741,NA
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Feed,Auto-|Unsuccessful,19,NA,NA,NA,101.836,87.341,NA
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Feed,Auto-|Unknown,95,NA,NA,NA,19.855,23.207,NA
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Foraging,Broken beak,49,1642.399,33.518,36.619,5.253,5.573,86.5
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Preen,Auto-,1,3.92,3.92,NA,NA,NA,0.2
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Preen,Auto-,1,3.92,3.92,NA,NA,NA,0.2
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Alert,Broken beak,3,9.08,3.027,1.541,60.36,46.16,0.5
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Broken beak,Alert,Broken beak,3,9.08,3.027,1.541,60.36,46.16,0.5
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Other crow #1,Feed,Auto-|Unknown,9,NA,NA,NA,61.51,151.377,NA
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Other crow #1,Feed,Auto-|Successful,21,NA,NA,NA,29.5,36.387,NA
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Other crow #1,Feed,Auto-|Unsuccessful,2,NA,NA,NA,264.96,NA,NA
21-8-25 BB #2,2026-01-0110:30:00.335,,55,79,2,cloudy,average,yes,ground,0.000,1897.960,1897.960,Other crow #1,Foraging,Other crow #1,28,336.961,12.034,14.807,48.344,141.342,17.8
